lid,loc_name,place
1,West Union,First Floor
2,Bryan Center,McDonalds
3,Bostock,Edge
4,West Union,ABP
5,Bostock,Second Floor
6,Perkins,First Floor
7,Bostock,Third Floor
8,Bryan Center,First Floor
9,West Union,Couches
10,Perkins,Second Floor
11,Bostock,Fourth Floor
12,West Union,Second Floor
13,West Union,Third Floor
14,West Union,Fourth Floor
15,Perkins,Third Floor
16,Perkins,Fourth Floor
17,Perkins,Third Floor
18,Perkins,Vondy
19,Perkins,Gothic
20,Bryan Center,Loop
21,Bryan Center,Griffith
22,Perkins,Basement